year,simulation theory,virtual reality,what is reality,philosophy of mind
1980,3.0505182269102704e-09,3.8793502854517214e-09,8.65820215523172e-09,6.743535951869717e-08
1981,2.99924582947142e-09,3.997610242834071e-09,8.859952771445023e-09,6.531363538897494e-08
1982,3.2394857167143223e-09,3.915209711990997e-09,8.697599085394359e-09,6.742408587001592e-08
1983,3.7059304831237635e-09,4.7074990889533245e-09,8.780133445692887e-09,7.085749587076862e-08
1984,3.593682542023048e-09,5.191114395484777e-09,8.925468618161046e-09,7.576229776873333e-08
1985,3.311591651693797e-09,6.128533553655708e-09,9.116753193641865e-09,7.879558237635007e-08
1986,3.37843151866833e-09,1.0459481471412703e-08,9.191936354925799e-09,8.010090724042129e-08
1987,3.720986201700376e-09,2.2147748397165808e-08,9.401032587317916e-09,8.233135062596375e-08
1988,3.7108825377631304e-09,5.239661028864719e-08,1.0321267142541859e-08,8.967028922565337e-08
1989,3.8613955366528785e-09,1.0892142121576853e-07,1.056503430772539e-08,9.19013558586812e-08
1990,3.926812668681683e-09,2.1539699877694473e-07,1.0784517025440112e-08,9.446765452431854e-08
1991,5.0100652832745544e-09,3.543876639763458e-07,1.1036616065496219e-08,9.760699778585799e-08
1992,5.763215809346483e-09,5.330816270949461e-07,1.1233641318751455e-08,1.0475954326238934e-07
1993,8.0838349665007e-09,7.039812014600752e-07,1.1595202766199821e-08,1.1390265695711475e-07
1994,8.705678812757713e-09,8.600217528607703e-07,1.1558570989222972e-08,1.1728997354306817e-07
1995,9.703788946982935e-09,9.853978895080218e-07,1.0751931535578154e-08,1.272600990936163e-07
1996,1.0449466498434795e-08,1.0723726404648914e-06,1.1083167780360067e-08,1.3773647213253882e-07
1997,1.1897477289072152e-08,1.105096787666428e-06,1.113208585629926e-08,1.453161867662597e-07
1998,1.3170262848559235e-08,1.0991383955375307e-06,1.1365808484851771e-08,1.546294186027808e-07
1999,1.3833463644427217e-08,1.0579008338546764e-06,1.1920220746982783e-08,1.6823897754290685e-07
2000,1.3861062900640978e-08,1.012884419131816e-06,1.1949370889599971e-08,1.7962191683246991e-07
2001,1.5150901739551566e-08,9.73062282940061e-07,1.2353083508490466e-08,1.932960965892302e-07
2002,1.8234029524372934e-08,9.338549976486579e-07,1.2957599310985707e-08,2.0093921802656821e-07
2003,2.0994241773613405e-08,8.970509140583869e-07,1.3071712981879306e-08,2.104241839820783e-07
2004,2.228283157990063e-08,8.601234071647923e-07,1.3436323545842503e-08,2.2006071682361445e-07
2005,2.3806895248818753e-08,8.3484988928311e-07,1.3680374039941917e-08,2.3122476225775506e-07
2006,2.5925569246965097e-08,8.027537968960782e-07,1.3788074681997387e-08,2.3122364569059884e-07
2007,2.7153540114812002e-08,7.797886577723798e-07,1.4337293130495254e-08,2.352452140387738e-07
2008,2.8580830400772228e-08,7.668759930571209e-07,1.4548232206225618e-08,2.3308578330930425e-07
2009,2.765090353510199e-08,7.606565597078381e-07,1.4515169891434913e-08,2.2878243401334787e-07
2010,2.8115041215772052e-08,7.623366968800838e-07,1.506987131908285e-08,2.3451450610017283e-07
2011,2.806129398688232e-08,7.677723244471833e-07,1.5238029251106256e-08,2.3587636072924007e-07
2012,2.794137822702071e-08,7.686545424283915e-07,1.530843553508378e-08,2.3702298181303506e-07
2013,2.9244005058818142e-08,7.918713842108056e-07,1.4958383103597887e-08,2.416759871591369e-07
2014,2.8857790062326264e-08,8.386961098949541e-07,1.4836371750196316e-08,2.390674101856608e-07
2015,2.966647270698429e-08,9.077042396451621e-07,1.4583358140133181e-08,2.479341816297165e-07
2016,2.98383786250562e-08,1.01504695391798e-06,1.4776629190090977e-08,2.478498808094238e-07
2017,2.9264030310116596e-08,1.0571993603510539e-06,1.4473974019324487e-08,2.435835805651247e-07
2018,2.9968337855734714e-08,1.1159560017404147e-06,1.439206389619585e-08,2.4440654442514644e-07
2019,3.048855212739454e-08,1.202841104941399e-06,1.4467108844229415e-08,2.3987999497876444e-07
