year,teoría de la simulación,realidad virtual,qué es la realidad,filosofía de la mente
1980,5.231380773018657e-09,8.852085620070227e-09,2.2748056771604297e-08,2.1866124244596108e-08
1981,4.436750833392011e-09,8.460710620994406e-09,2.386048514324557e-08,2.151923883531026e-08
1982,4.2182634052423396e-09,7.717702773154164e-09,2.3634729136764083e-08,2.4496934406907183e-08
1983,3.8849596555629824e-09,7.271844713687057e-09,2.4297919105314188e-08,2.476764685407521e-08
1984,4.133159211708712e-09,7.025306051186167e-09,2.4596014114308673e-08,2.4927534703067522e-08
1985,3.3146498244564425e-09,8.669042626609423e-09,2.4997862573578848e-08,2.349062417599563e-08
1986,3.1923015342272265e-09,1.0632788554383005e-08,2.415814646740598e-08,2.4347679428160518e-08
1987,2.720373704079293e-09,1.598368390024315e-08,2.4882246358564382e-08,2.6798693803747094e-08
1988,3.392819707721222e-09,2.3035416431481182e-08,2.5695434351697647e-08,2.8439361849612917e-08
1989,3.185547571758564e-09,4.013190414907188e-08,2.7425304693906583e-08,2.9353043678221572e-08
1990,3.826051190155713e-09,8.518093532115603e-08,2.752122009651105e-08,3.319207994171133e-08
1991,3.7924426456368926e-09,1.7315703131665877e-07,2.717771100232572e-08,3.472104508667988e-08
1992,3.874056155238139e-09,2.985377367537012e-07,2.7182807116332697e-08,4.184353739690648e-08
1993,4.6634008718119244e-09,4.0891785348305477e-07,2.862882451738967e-08,4.777291197553625e-08
1994,4.9069705441797035e-09,5.440544101580664e-07,2.9378865562534884e-08,5.4749550417097585e-08
1995,4.389759095906649e-09,6.441206668991331e-07,2.8675138454202298e-08,6.108633700461854e-08
1996,4.725094315816136e-09,7.580293015507777e-07,2.724163624837469e-08,6.591067044528895e-08
1997,4.8704194011151e-09,8.361252363491596e-07,2.763701064826104e-08,7.561797029812364e-08
1998,4.960507782314494e-09,8.714856270281806e-07,2.8722813334119176e-08,9.617388891618767e-08
1999,6.50255478034418e-09,8.581741407657059e-07,2.9844076670266466e-08,1.0745964423059767e-07
2000,6.67641760923995e-09,8.591686001376989e-07,3.0389149228783804e-08,1.0958520744809772e-07
2001,6.910314574527985e-09,8.330258814177276e-07,3.181193315120774e-08,1.1157279849222895e-07
2002,7.142435278138594e-09,8.175793482223526e-07,3.366944513670335e-08,1.143865588915105e-07
2003,7.209659409162279e-09,7.675926911230948e-07,3.523426325305731e-08,1.1107415330359669e-07
2004,6.945093833365945e-09,7.281610935803786e-07,3.6435014497523555e-08,1.1306058920825177e-07
2005,7.9972190139951e-09,6.901887315637265e-07,3.849634668183301e-08,1.069273832651366e-07
2006,7.044456700506479e-09,6.66700023949878e-07,3.8833850421074856e-08,1.0028597279594059e-07
2007,6.413656399623895e-09,6.538888328577741e-07,3.865881887626139e-08,1.0006109515562197e-07
2008,1.1632115334439926e-08,6.293560821697091e-07,3.7926641129258446e-08,1.004426637101525e-07
2009,1.2181650481985734e-08,6.190850772977033e-07,3.689727583784068e-08,1.0034693431748565e-07
2010,1.3281540375434782e-08,6.184831460944094e-07,3.741280402940512e-08,1.032035277554704e-07
2011,1.3447465553793693e-08,6.380165830575737e-07,3.719941535759322e-08,9.854219078826126e-08
2012,1.4034453155176152e-08,6.56982186748272e-07,3.675750751394194e-08,9.092996070389095e-08
2013,1.3424738273418565e-08,6.509318057266813e-07,3.829259246198749e-08,8.634281454890567e-08
2014,1.5782420449893053e-08,6.664373829932759e-07,3.652848740947385e-08,8.895029018114136e-08
2015,1.3780710921602285e-08,7.720020107626624e-07,3.558003060431604e-08,9.800867876005473e-08
2016,1.5024632966336478e-08,8.680052912625667e-07,3.622713557709696e-08,9.406105659439032e-08
2017,1.5496727456820736e-08,9.181864394728715e-07,3.5741166470870667e-08,9.701109367673173e-08
2018,1.725698188792535e-08,9.563588605487894e-07,3.5163874656518604e-08,9.591491902938288e-08
2019,1.71552735350744e-08,1.0102193783723123e-06,3.3383318331914325e-08,9.741243012229006e-08
