year,red pill,blue pill,simulation reality,glitch in the matrix
1980,1.1899606994214551e-09,4.012742638170863e-09,2.7056535831238016e-11,0.0
1981,1.287267303862194e-09,4.033200129427428e-09,2.1645228664990414e-11,0.0
1982,1.2700865266908796e-09,4.208019673453596e-09,2.6261181308255093e-11,0.0
1983,1.2787150465471647e-09,4.310834958839596e-09,7.882645974447274e-11,0.0
1984,1.4469750239268615e-09,4.526465995675315e-09,9.281019355822373e-11,0.0
1985,1.6572410190183818e-09,4.5164618077210756e-09,9.281019355822373e-11,0.0
1986,1.730662771822925e-09,4.521813907436873e-09,9.048990079077842e-11,0.0
1987,1.7478925132660299e-09,4.773629872342358e-09,9.048990079077842e-11,0.0
1988,1.6402786668605935e-09,4.759469326590501e-09,9.048990079077842e-11,0.0
1989,1.673663675903571e-09,4.5778163482168566e-09,8.344119443012436e-11,0.0
1990,1.7180011461067783e-09,4.5897468048394785e-09,4.613028609894749e-11,0.0
1991,1.6145112944977923e-09,4.590610939000531e-09,3.8400104524732064e-11,0.0
1992,1.3642520684571074e-09,4.613698756372742e-09,5.051256833445348e-11,0.0
1993,1.4737051816966179e-09,4.538258974966831e-09,4.350322136256349e-11,0.0
1994,1.5487541804581895e-09,4.223736154480256e-09,7.446364209763777e-11,0.0
1995,1.8001663493194542e-09,4.7451707959770115e-09,8.663181432143143e-11,0.0
1996,2.023772260884016e-09,5.263205553924471e-09,9.263406609243724e-11,6.633348632283693e-12
1997,2.260370827019845e-09,6.04248270466964e-09,8.458171464807509e-11,1.8748295574752152e-11
1998,2.6183057468186023e-09,6.801017907572973e-09,9.482994052710327e-11,2.4832698397592168e-11
1999,3.703260555352829e-09,8.175378786644063e-09,8.788014859468468e-11,3.054421596601234e-11
2000,5.38448650745847e-09,1.0191474584887926e-08,8.669365671771473e-11,4.694291582436299e-11
2001,8.226223892547426e-09,1.3018873344451874e-08,7.022417022883864e-11,8.963360014530813e-11
2002,1.0251978218736975e-08,1.5350626547672164e-08,6.828551662610823e-11,1.1787784835539028e-10
2003,1.2288228307915411e-08,1.8279199868028887e-08,9.668819613998077e-11,1.6551043274010928e-10
2004,1.369727080963961e-08,2.0024830174999612e-08,1.049678082549426e-10,2.0649172352163855e-10
2005,1.5585033073607846e-08,2.2759154307193186e-08,1.121329358731517e-10,2.579197599542457e-10
2006,1.6849390708070392e-08,2.6001731561515433e-08,1.1677138026363768e-10,3.3348712283728533e-10
2007,1.7482497608308937e-08,2.970046684781989e-08,1.2204454708746633e-10,3.905755124084769e-10
2008,1.7904287956988744e-08,3.207568027059031e-08,1.3774257528227045e-10,4.371473460995645e-10
2009,1.8222546646232526e-08,3.374029715936493e-08,1.5514138089280293e-10,4.613694624757057e-10
2010,1.8800170182536087e-08,3.431717056555174e-08,1.3632636487935302e-10,5.14882569120039e-10
2011,1.985683008496965e-08,3.702915815243354e-08,1.5677837996084876e-10,5.451084742321857e-10
2012,2.145113191837871e-08,3.940349100974215e-08,2.1938757953167609e-10,6.453425016594849e-10
2013,2.3534251119323405e-08,4.058285441033149e-08,2.2485860693263352e-10,6.373756443269128e-10
2014,2.5195822824944765e-08,3.990421808859017e-08,2.294589161534942e-10,7.447337032776399e-10
2015,2.6204806959283034e-08,4.0244216847895586e-08,1.9926995371249186e-10,8.901573288002038e-10
2016,2.9932339781372063e-08,4.157780862458692e-08,2.4303160277889495e-10,1.2403968645864033e-09
2017,3.137435733435723e-08,4.3178290572617094e-08,2.6534863542537757e-10,1.3213874624125783e-09
2018,3.353783775139618e-08,4.348004765120095e-08,2.628590220488114e-10,1.4690139549244919e-09
2019,3.48083251111575e-08,4.2955270451727756e-08,1.7759059327271398e-10,1.5602111269608088e-09
